강좌명,차시명,링크,
3D입체퍼즐 큐블로와 신나는 파닉스 여행,📌숲에서 길을 잃었어요. 도와주세요! (MNOP),4차시. 숲에서 길을 잃었어요. 도와주세요! (MNOP) – 크레용스쿨,https://crayonschool.co.kr/lessons/4%ec%b0%a8%ec%8b%9c-%ec%88%b2%ec%97%90%ec%84%9c-%ea%b8%b8%ec%9d%84-%ec%9e%83%ec%97%88%ec%96%b4%ec%9a%94-%eb%8f%84%ec%99%80%ec%a3%bc%ec%84%b8%ec%9a%94-mnop/
만들면서 배우는 세계문화 이야기,프랑스,"1차시. 프랑스, 에펠탑을 구하라! – 크레용스쿨",https://crayonschool.co.kr/lessons/1%ec%b0%a8%ec%8b%9c-%ed%94%84%eb%9e%91%ec%8a%a4-%ec%97%90%ed%8e%a0%ed%83%91%ec%9d%84-%ea%b5%ac%ed%95%98%eb%9d%bc/
만들면서 배우는 세계문화 이야기,호주,"2차시. 호주, 시드니 오페라를 구하라! – 크레용스쿨",https://crayonschool.co.kr/lessons/2%ec%b0%a8%ec%8b%9c-%ed%98%b8%ec%a3%bc-%ec%8b%9c%eb%93%9c%eb%8b%88-%ec%98%a4%ed%8e%98%eb%9d%bc%eb%a5%bc-%ea%b5%ac%ed%95%98%eb%9d%bc/
만들면서 배우는 세계문화 이야기,영국,"3차시. 영국, 빅벤을 구하라! – 크레용스쿨",https://crayonschool.co.kr/lessons/3%ec%b0%a8%ec%8b%9c-%ec%98%81%ea%b5%ad-%eb%b9%85%eb%b2%a4%ec%9d%84-%ea%b5%ac%ed%95%98%eb%9d%bc/
만들면서 배우는 세계문화 이야기,미국,"4차시. 미국, 자유의 여신상을 구하라! – 크레용스쿨",https://crayonschool.co.kr/lessons/4%ec%b0%a8%ec%8b%9c-%eb%af%b8%ea%b5%ad-%ec%9e%90%ec%9c%a0%ec%9d%98-%ec%97%ac%ec%8b%a0%ec%83%81%ec%9d%84-%ea%b5%ac%ed%95%98%eb%9d%bc/
메이큐,봄나들이를 가요,1차시. 봄 나들이를 가요! – 크레용스쿨,https://crayonschool.co.kr/lessons/1%ec%b0%a8%ec%8b%9c-%eb%b4%84-%eb%82%98%eb%93%a4%ec%9d%b4%eb%a5%bc-%ea%b0%80%ec%9a%94/
메이큐,맑은 날로 가자,2차시. 맑은 날로 가자! – 크레용스쿨,https://crayonschool.co.kr/lessons/2%ec%b0%a8%ec%8b%9c-%eb%a7%91%ec%9d%80-%eb%82%a0%eb%a1%9c-%ea%b0%80%ec%9e%90-4/
메이큐,새하얀 겨울날,3차시. 새하얀 겨울날 – 크레용스쿨,https://crayonschool.co.kr/lessons/3%ec%b0%a8%ec%8b%9c-%ec%83%88%ed%95%98%ec%96%80-%ea%b2%a8%ec%9a%b8%eb%82%a0/
메이큐,맛있는 바나나,4차시. 맛있는 바나나 – 크레용스쿨,https://crayonschool.co.kr/lessons/4%ec%b0%a8%ec%8b%9c-%eb%a7%9b%ec%9e%88%eb%8a%94-%eb%b0%94%eb%82%98%eb%82%98/
메이큐,숫자를 맞춰라!,5차시. 숫자를 맞춰라! – 크레용스쿨,https://crayonschool.co.kr/lessons/5%ec%b0%a8%ec%8b%9c-%ec%88%ab%ec%9e%90%eb%a5%bc-%eb%a7%9e%ec%b6%b0%eb%9d%bc/
메이큐,고양이와 그네,6차시. 고양이와 그네 – 크레용스쿨,https://crayonschool.co.kr/lessons/6%ec%b0%a8%ec%8b%9c-%ea%b3%a0%ec%96%91%ec%9d%b4%ec%99%80-%ea%b7%b8%eb%84%a4/
메이큐,말을따라하는 앵무새,7차시. 말을 따라하는 앵무새 – 크레용스쿨,https://crayonschool.co.kr/lessons/7%ec%b0%a8%ec%8b%9c-%eb%a7%90%ec%9d%84-%eb%94%b0%eb%9d%bc%ed%95%98%eb%8a%94-%ec%95%b5%eb%ac%b4%ec%83%88-2/
메이큐,아기고래를 찾아서,8차시. 아기 고래를 찾아서 – 크레용스쿨,https://crayonschool.co.kr/lessons/8%ec%b0%a8%ec%8b%9c-%ec%95%84%ea%b8%b0-%ea%b3%a0%eb%9e%98%eb%a5%bc-%ec%b0%be%ec%95%84%ec%84%9c/
메이큐,더운알파카를 구해줘,9차시. 더운 알파카를 구해줘 – 크레용스쿨,https://crayonschool.co.kr/lessons/9%ec%b0%a8%ec%8b%9c-%eb%8d%94%ec%9a%b4-%ec%95%8c%ed%8c%8c%ec%b9%b4%eb%a5%bc-%ea%b5%ac%ed%95%b4%ec%a4%98/
메이큐,신나는 술래잡기,10차시. 신나는 술래잡기 – 크레용스쿨,https://crayonschool.co.kr/lessons/10%ec%b0%a8%ec%8b%9c-%ec%8b%a0%eb%82%98%eb%8a%94-%ec%88%a0%eb%9e%98%ec%9e%a1%ea%b8%b0/
,,,
